date,open,high,low,close,volume,ticker,source
2012-05-18,19.07,19.4075,18.64929,18.94214,732292400.0,AAPL,twelvedata
2012-05-21,19.089287,20.055,19.073214,20.045713,631106000.0,AAPL,twelvedata
2012-05-22,20.34107,20.49571,19.735,19.89179,694870400.0,AAPL,twelvedata
2012-05-23,19.91071,20.45714,19.75821,20.37714,584897600.0,AAPL,twelvedata
2012-05-24,20.56679,20.58929,20.043928,20.19,496230000.0,AAPL,twelvedata
2012-05-25,20.16393,20.20893,19.94536,20.081785,328507200.0,AAPL,twelvedata
2012-05-29,20.38929,20.5,20.18964,20.43821,380508800.0,AAPL,twelvedata
2012-05-30,20.32857,20.71393,20.23429,20.68464,529429600.0,AAPL,twelvedata
2012-05-31,20.74071,20.76786,20.40929,20.63321,491674400.0,AAPL,twelvedata
2012-06-01,20.32714,20.45179,20.018572,20.035357,520987600.0,AAPL,twelvedata
2012-06-04,20.053572,20.26786,19.58929,20.15321,556995600.0,AAPL,twelvedata
2012-06-05,20.045357,20.23107,19.94036,20.10107,388214400.0,AAPL,twelvedata
2012-06-06,20.2775,20.49464,20.19643,20.40929,401455600.0,AAPL,twelvedata
2012-06-07,20.6175,20.61857,20.375,20.41857,379766800.0,AAPL,twelvedata
2012-06-08,20.41429,20.735,20.32143,20.72571,347516400.0,AAPL,twelvedata
2012-06-11,20.99,21.017857,20.37964,20.39893,591264800.0,AAPL,twelvedata
2012-06-12,20.51643,20.59357,20.23929,20.57714,435380400.0,AAPL,twelvedata
2012-06-13,20.51857,20.66,20.37071,20.43429,293580000.0,AAPL,twelvedata
2012-06-14,20.40143,20.48214,20.25929,20.41179,345573200.0,AAPL,twelvedata
2012-06-15,20.39286,20.52214,20.34107,20.50464,335255200.0,AAPL,twelvedata
2012-06-18,20.39143,20.99607,20.37036,20.92071,440412000.0,AAPL,twelvedata
2012-06-19,20.83571,21.071428,20.825,20.97893,361404400.0,AAPL,twelvedata
2012-06-20,21.0074997,21.044643,20.74286,20.91929,358943200.0,AAPL,twelvedata
2012-06-21,20.90857,21.0078564,20.62286,20.63107,326351200.0,AAPL,twelvedata
2012-06-22,20.68,20.7925,20.55071,20.78929,284471600.0,AAPL,twelvedata
2012-06-25,20.61786,20.70714,20.37036,20.38464,304382400.0,AAPL,twelvedata
2012-06-26,20.40464,20.5175,20.26179,20.42964,276536400.0,AAPL,twelvedata
2012-06-27,20.53571,20.59786,20.42571,20.51786,202997200.0,AAPL,twelvedata
2012-06-28,20.41679,20.5,20.20036,20.32321,282836400.0,AAPL,twelvedata
2012-06-29,20.64286,20.85714,20.50893,20.85714,421500800.0,AAPL,twelvedata
2012-07-02,20.88321,21.19536,20.84286,21.16143,400092000.0,AAPL,twelvedata
2012-07-03,21.24571,21.42857,21.21429,21.4075,241712800.0,AAPL,twelvedata
2012-07-05,21.44857,21.94071,21.41607,21.78357,484383200.0,AAPL,twelvedata
2012-07-06,21.68179,21.73,21.485,21.63857,418930400.0,AAPL,twelvedata
2012-07-09,21.61786,21.925,21.57536,21.92464,379405600.0,AAPL,twelvedata
2012-07-10,22.070356,22.13821,21.61821,21.72179,511957600.0,AAPL,twelvedata
2012-07-11,21.64714,21.70214,21.32929,21.58679,469322000.0,AAPL,twelvedata
2012-07-12,21.43714,21.5525,21.16714,21.38929,428041600.0,AAPL,twelvedata
2012-07-13,21.53393,21.68536,21.42857,21.60607,311427200.0,AAPL,twelvedata
2012-07-16,21.61143,21.84357,21.60786,21.67536,301260400.0,AAPL,twelvedata
2012-07-17,21.81393,21.83929,21.54107,21.67643,293624800.0,AAPL,twelvedata
2012-07-18,21.66393,21.72643,21.55571,21.65214,252700000.0,AAPL,twelvedata
2012-07-19,21.83143,21.97679,21.64286,21.94,436861600.0,AAPL,twelvedata
2012-07-20,21.89393,21.94429,21.56071,21.58214,397471200.0,AAPL,twelvedata
2012-07-23,21.22857,21.63929,20.98964,21.56536,487975600.0,AAPL,twelvedata
2012-07-24,21.69214,21.77429,21.37536,21.46143,565132400.0,AAPL,twelvedata
2012-07-25,20.51643,20.74286,20.35714,20.53464,877312800.0,AAPL,twelvedata
2012-07-26,20.70571,20.72857,20.37,20.53143,406632800.0,AAPL,twelvedata
2012-07-27,20.53607,20.9225,20.41393,20.89857,403936400.0,AAPL,twelvedata
2012-07-30,21.10429,21.40857,20.99357,21.25107,379142400.0,AAPL,twelvedata
2012-07-31,21.54393,21.84643,21.52571,21.81286,462327600.0,AAPL,twelvedata
2012-08-01,21.99679,22.014286,21.53571,21.67179,384501600.0,AAPL,twelvedata
2012-08-02,21.53,21.81036,21.4375,21.70679,332158400.0,AAPL,twelvedata
2012-08-03,21.91536,22.070715,21.84143,21.98929,344920800.0,AAPL,twelvedata
2012-08-06,22.04607,22.31679,21.97357,22.23393,302103200.0,AAPL,twelvedata
2012-08-07,22.24179,22.32143,22.072857,22.17536,290446800.0,AAPL,twelvedata
2012-08-08,22.12107,22.28143,22.039286,22.13786,244706000.0,AAPL,twelvedata
2012-08-09,22.066071,22.20464,22.064285,22.16893,221642400.0,AAPL,twelvedata
2012-08-10,22.096786,22.20571,22.09643,22.20357,194938800.0,AAPL,twelvedata
2012-08-13,22.26393,22.5,22.25893,22.5,278832400.0,AAPL,twelvedata
2012-08-14,22.56679,22.8075,22.5075,22.56036,340169200.0,AAPL,twelvedata
2012-08-15,22.54643,22.64286,22.41964,22.52964,257342400.0,AAPL,twelvedata
2012-08-16,22.54321,22.74143,22.51786,22.72643,254534000.0,AAPL,twelvedata
2012-08-17,22.85714,23.14964,22.81464,23.14679,442761200.0,AAPL,twelvedata
2012-08-20,23.21464,23.75536,23.21071,23.75536,613384800.0,AAPL,twelvedata
2012-08-21,23.95786,24.10286,23.22607,23.43071,812719600.0,AAPL,twelvedata
2012-08-22,23.37214,23.89286,23.14679,23.88821,565322800.0,AAPL,twelvedata
2012-08-23,23.78964,23.925,23.6125,23.66536,420128800.0,AAPL,twelvedata
2012-08-24,23.55393,23.91,23.4125,23.68643,437340400.0,AAPL,twelvedata
2012-08-27,24.28536,24.31679,24.055,24.13143,427008400.0,AAPL,twelvedata
2012-08-28,24.10643,24.14643,23.9525,24.1,267416800.0,AAPL,twelvedata
2012-08-29,24.11607,24.2025,24.021429,24.0525,202806800.0,AAPL,twelvedata
2012-08-30,23.95143,23.98393,23.67321,23.70964,302699600.0,AAPL,twelvedata
2012-08-31,23.83036,23.87857,23.47321,23.75857,338321200.0,AAPL,twelvedata
2012-09-04,23.77714,24.11214,23.73214,24.10607,367892000.0,AAPL,twelvedata
2012-09-05,24.1275,24.15536,23.91429,23.93679,336375200.0,AAPL,twelvedata
2012-09-06,24.041786,24.22464,23.95714,24.1525,391196400.0,AAPL,twelvedata
2012-09-07,24.21607,24.37429,24.13464,24.30143,329666400.0,AAPL,twelvedata
2012-09-10,24.30179,24.40321,23.64643,23.66929,487998000.0,AAPL,twelvedata
2012-09-11,23.75393,23.93214,23.44643,23.5925,503983200.0,AAPL,twelvedata
2012-09-12,23.81607,23.925,23.42857,23.92107,712233200.0,AAPL,twelvedata
2012-09-13,24.19179,24.48214,24.098928,24.39214,598360000.0,AAPL,twelvedata
2012-09-14,24.64143,24.89214,24.5675,24.68857,600474000.0,AAPL,twelvedata
2012-09-17,24.97679,24.99286,24.8075,24.99214,398031200.0,AAPL,twelvedata
2012-09-18,24.99571,25.083214,24.87214,25.068214,373503200.0,AAPL,twelvedata
2012-09-19,25.0092869,25.1425,24.98464,25.075001,326874800.0,AAPL,twelvedata
2012-09-20,24.97,25.0021439,24.77214,24.95357,336568400.0,AAPL,twelvedata
2012-09-21,25.086071,25.18107,24.97714,25.0032139,571589200.0,AAPL,twelvedata
2012-09-24,24.53071,24.82571,24.39286,24.67107,639766400.0,AAPL,twelvedata
2012-09-25,24.58071,24.74214,24.035713,24.055,518789600.0,AAPL,twelvedata
2012-09-26,23.88357,24.024643,23.61429,23.75643,576503200.0,AAPL,twelvedata
2012-09-27,23.72464,24.36321,23.58393,24.33286,594090000.0,AAPL,twelvedata
2012-09-28,24.24107,24.32536,23.8125,23.825,535110800.0,AAPL,twelvedata
2012-10-01,23.97,24.16964,23.44643,23.54964,543594800.0,AAPL,twelvedata
2012-10-02,23.63607,23.79821,23.2375,23.61821,627992400.0,AAPL,twelvedata
2012-10-03,23.745,23.995,23.66536,23.98036,424281200.0,AAPL,twelvedata
2012-10-04,23.97321,24.080357,23.76964,23.81429,370725600.0,AAPL,twelvedata
2012-10-05,23.75714,23.78571,23.26,23.30679,594006000.0,AAPL,twelvedata
2012-10-08,23.10286,23.12714,22.71821,22.79179,637994000.0,AAPL,twelvedata
2012-10-09,22.80893,22.87464,22.26964,22.70893,838597200.0,AAPL,twelvedata
2012-10-10,22.84786,23.035,22.75,22.88964,510356000.0,AAPL,twelvedata
2012-10-11,23.089287,23.11429,22.43214,22.43214,546081200.0,AAPL,twelvedata
2012-10-12,22.48429,22.69214,22.33214,22.48964,460014800.0,AAPL,twelvedata
2012-10-15,22.58393,22.68321,22.28036,22.67,432502000.0,AAPL,twelvedata
2012-10-16,22.69179,23.225,22.53571,23.20679,549771600.0,AAPL,twelvedata
2012-10-17,23.17393,23.31393,23.0,23.021786,389037600.0,AAPL,twelvedata
2012-10-18,22.8425,22.93071,22.5,22.59429,476624400.0,AAPL,twelvedata
2012-10-19,22.5375,22.56321,21.77214,21.78,744086000.0,AAPL,twelvedata
2012-10-22,21.87214,22.69214,21.81286,22.64393,546730800.0,AAPL,twelvedata
2012-10-23,22.53571,22.63929,21.84643,21.90571,707145600.0,AAPL,twelvedata
